Respondent_ID,Q01_Age_Group,Q02_Gender,Q03_Region,Q04_City_Tier,Q05_Monthly_Income,Q06_Household_Size,Q07_Occupation,Q08_Purchase_Motivation_Top2,Q09_Traditional_Crafts_Owned,Q10_Gifting_Occasions,Q11_Gift_Budget_Per_Occasion,Q12_Puja_Frequency,Q13_Last_Purchase_Recency,Q14_Purchase_Frequency_12M,Q15_Historical_Spend_12M,Q16_Product_Category_Interest,Q17_Pooja_Set_Budget,Q17b_Kansa_Dinner_Set_Budget,Q_Preferred_Shopping_Channel,Q18_Top2_Reasons_Buying_Brass,Q19_Current_Buying_Source,Q20_Trust_Moradabad_1to5,Q21_Barrier_Removal_Top2,Q22_Preferred_Offer_Type,Q23_NPS_Score_1to5,Q24_Future_Annual_Spend_TARGET,Q25_Purchase_Likelihood_TARGET,Q_Open_Text_Brass_Meaning
PTMB0351,35-44 years,Female,East India,Metro city,Rs 150001-300000,5-6 people (medium family),Homemaker,Health & wellness|Social validation,Antique/vintage collectibles|Silver pooja items/silverware|Tribal or folk art,Birthdays and anniversaries|Housewarming (Griha Pravesh)|Weddings,Rs 3500-7000,Every single day,1-3 months ago,1-2 times,More than Rs 20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 4000-8000,Rs 15000-30000,Local retail store,Cultural and religious significance|Health and Ayurvedic benefits,Yes - local shops/wholesale/roadside,4,30-day easy return/replacement/refund guarantee|Low-cost trial kit/sample set,Bundle deal (puja set + water vessel at combined price),4.0,Rs 8001-20000,Definitely yes - buy within first month,To me brass is just a metal - I prefer stainless steel honestly.
PTMB0352,45-59 years,Female,South India,Tier-2 city,Below Rs 20000,5-6 people (medium family),Student,Aesthetics|Status & luxury,Antique/vintage collectibles|Stone craft items,Rarely or never give gifts,Rs 7000-15000,Most days (5-6 days a week),6-12 months ago,1-2 times,Rs 1-1000,"Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Above Rs 15000,Rs 1000-3000,YouTube/influencer recommendation,Aesthetic beauty|Sustainability,Yes - directly from artisans/craft fairs,4,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,Bundle deal (puja set + water vessel at combined price),1.0,Under Rs 1000,Probably yes - explore and very likely purchase,It connects me to my roots and to the artisans of India.
PTMB0353,35-44 years,Female,West India,Metro city,Rs 150001-300000,3-4 people (small nuclear),Salaried - Private sector,Craft & artistry|Cultural pride,Brass or copper items|Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Housewarming (Griha Pravesh)|Rarely or never give gifts,Rs 7000-15000,Every single day,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 1500-4000,Rs 15000-30000,Brand website (direct online),Cultural and religious significance|Sustainability,Yes - local shops/wholesale/roadside,3,Low-cost trial kit/sample set|Verified customer reviews with photos,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),4.0,Rs 3001-8000,Probably not - have trusted alternatives,
PTMB0354,18-24 years,Female,North-East India,Tier-2 city,Rs 40001-75000,7+ people (large joint family),Salaried - Government/PSU,Aesthetics|Craft & artistry,Handcrafted jewellery|Tribal or folk art|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Diwali,Rs 1500-3500,Most days (5-6 days a week),More than 1 year ago,3-5 times,Rs 1-1000,"Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 7000-15000,Local retail store,Aesthetic beauty|Gifting value,No - do not buy brass/traditional products,2,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),1.0,Rs 3001-8000,Probably yes - explore and very likely purchase,
PTMB0355,18-24 years,Female,South India,Village or rural area,Rs 20000-40000,3-4 people (small nuclear),Business owner/Entrepreneur,Aesthetics|Craft & artistry,Handloom/block-printed home textiles,Birthdays and anniversaries|Corporate gifting|Housewarming (Griha Pravesh),Rs 1500-3500,Only on weekends,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 1500-4000,Rs 1000-3000,Craft fair/haat/mela/exhibition,Status and refined taste|Support Indian artisans,Yes - directly from artisans/craft fairs,4,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Buy more save more (any 3 items 20% off),5.0,Rs 1000-3000,Maybe - need to see quality and pricing first,
PTMB0356,35-44 years,Male,South India,Village or rural area,Rs 20000-40000,1-2 people (nuclear),Salaried - Private sector,Health & wellness|Sustainability,Handloom/block-printed home textiles|Stone craft items|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Navratri/Durga Puja/Pongal/regional festivals|Rarely or never give gifts,Rs 1500-3500,Only on festivals,1-3 months ago,3-5 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 500-1500,Rs 1000-3000,Amazon or Flipkart,Aesthetic beauty|Health and Ayurvedic benefits,Yes - Amazon/Flipkart (unbranded/generic),2,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),3.0,Rs 1000-3000,Definitely yes - buy within first month,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0357,Under 18 years,Female,North India,Tier-2 city,Rs 20000-40000,7+ people (large joint family),Student,Aesthetics|Cultural pride,None,Diwali|Housewarming (Griha Pravesh)|Rarely or never give gifts|Weddings,Rs 1500-3500,A few times a week,6-12 months ago,1-2 times,More than Rs 20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)|None of these interest me",Rs 500-1500,Rs 1000-3000,YouTube/influencer recommendation,Investment and heirloom value|Support Indian artisans,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",3,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Loyalty reward points,3.0,Rs 8001-20000,Maybe - need to see quality and pricing first,
PTMB0358,35-44 years,Male,South India,Tier-2 city,Rs 40001-75000,3-4 people (small nuclear),Student,Craft & artistry|Status & luxury,Brass or copper items,Birthdays and anniversaries|Corporate gifting|Diwali|Weddings,Rs 1500-3500,Only on festivals,More than 1 year ago,3-5 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 8000-15000,Rs 3000-7000,Amazon or Flipkart,Cultural and religious significance|Support Indian artisans,No - want to buy but no trusted brand yet,2,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Buy more save more (any 3 items 20% off),3.0,Under Rs 1000,Probably not - have trusted alternatives,
PTMB0359,60 years and above,Female,South India,Village or rural area,Below Rs 20000,3-4 people (small nuclear),Salaried - Private sector,Craft & artistry|Value for money,Antique/vintage collectibles|Stone craft items|Tribal or folk art,Baby showers/naming ceremonies|Navratri/Durga Puja/Pongal/regional festivals,Under Rs 500,Only on festivals,6-12 months ago,3-5 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 500-1500,Rs 1000-3000,Instagram/Facebook social commerce,Health and Ayurvedic benefits|Sustainability,Yes - directly from artisans/craft fairs,4,"Transparency on sourcing (which artisan, which workshop)|Videos of handcrafting by Moradabad artisans",Buy more save more (any 3 items 20% off),5.0,Under Rs 1000,Probably yes - explore and very likely purchase,"Premium, durable, and eco-friendly - brass is the future kitchen material."
PTMB0360,35-44 years,Male,North India,Tier-3 town,Rs 20000-40000,5-6 people (medium family),Business owner/Entrepreneur,Aesthetics|Sustainability,Antique/vintage collectibles|Brass or copper items,Corporate gifting|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 500-1500,A few times a week,3-6 months ago,1-2 times,Rs 0 (did not buy),"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 4000-8000,Rs 1000-3000,Word of mouth/referral,Health and Ayurvedic benefits|Sustainability,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",3,Brass care and maintenance guide included|Verified customer reviews with photos,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),3.0,Rs 1000-3000,Definitely not - category not relevant,"Brass is timeless, beautiful, and heals the body according to Ayurveda."
PTMB0361,25-34 years,Male,North India,Metro city,Rs 75001-150000,7+ people (large joint family),Student,Aesthetics|Sustainability,Brass or copper items|Handmade pottery/terracotta|Stone craft items,Baby showers/naming ceremonies,Rs 1500-3500,Only on festivals,More than 1 year ago,1-2 times,More than Rs 20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 500-1500,Rs 15000-30000,Instagram/Facebook social commerce,Cultural and religious significance|Status and refined taste,Yes - local shops/wholesale/roadside,5,Purity/authenticity certificate (NABL lab)|Videos of handcrafting by Moradabad artisans,Free premium gift wrapping + handwritten note,4.0,Rs 8001-20000,Definitely yes - buy within first month,"I associate brass with tradition, warmth, and Indian identity."
PTMB0362,35-44 years,Male,South India,Tier-2 city,Rs 20000-40000,7+ people (large joint family),Salaried - Government/PSU,Cultural pride|Social validation,Brass or copper items|Handloom/block-printed home textiles|Tribal or folk art,Weddings,Rs 1500-3500,Most days (5-6 days a week),6-12 months ago,3-5 times,Rs 1-1000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Under Rs 500,Rs 1000-3000,Word of mouth/referral,Cultural and religious significance|Status and refined taste,No - do not buy brass/traditional products,4,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Buy more save more (any 3 items 20% off),1.0,Rs 8001-20000,Probably yes - explore and very likely purchase,To me brass is just a metal - I prefer stainless steel honestly.
PTMB0363,25-34 years,Male,East India,Metro city,Rs 20000-40000,7+ people (large joint family),Homemaker,Aesthetics|Health & wellness,Brass or copper items|Handloom/block-printed home textiles|Silver pooja items/silverware|Tribal or folk art,Baby showers/naming ceremonies|Birthdays and anniversaries|Housewarming (Griha Pravesh)|Navratri/Durga Puja/Pongal/regional festivals,Under Rs 500,Every single day,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 4000-8000,Rs 1000-3000,Brand website (direct online),Aesthetic beauty|Gifting value,No - do not buy brass/traditional products,3,Brass care and maintenance guide included|Low-cost trial kit/sample set,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),4.0,Rs 8001-20000,Definitely not - category not relevant,"I associate brass with tradition, warmth, and Indian identity."
PTMB0364,35-44 years,Female,South India,Tier-2 city,Rs 40001-75000,7+ people (large joint family),Salaried - Private sector,Cultural pride|Value for money,None,Birthdays and anniversaries|Diwali,Rs 500-1500,Only on weekends,3-6 months ago,3-5 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 500-1500,Rs 1000-3000,Local retail store,Aesthetic beauty|Health and Ayurvedic benefits,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",4,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Free premium gift wrapping + handwritten note,3.0,Under Rs 1000,Definitely not - category not relevant,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0365,60 years and above,Female,North India,Tier-2 city,Rs 40001-75000,1-2 people (nuclear),Homemaker,Craft & artistry|Health & wellness,Silver pooja items/silverware|Stone craft items|Tribal or folk art,Corporate gifting|Housewarming (Griha Pravesh)|Navratri/Durga Puja/Pongal/regional festivals,Rs 3500-7000,Every single day,Never bought,0 times,Rs 0 (did not buy),"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 4000-8000,Rs 3000-7000,Craft fair/haat/mela/exhibition,Cultural and religious significance|Sustainability,Yes - Amazon/Flipkart (unbranded/generic),1,"Purity/authenticity certificate (NABL lab)|Transparency on sourcing (which artisan, which workshop)",Custom engraving/personalisation,2.0,Rs 1000-3000,Definitely not - category not relevant,Brass is elegant - it elevates the aesthetic of any home instantly.
PTMB0366,25-34 years,Male,South India,Tier-3 town,Rs 75001-150000,3-4 people (small nuclear),Salaried - Private sector,Aesthetics|Cultural pride,Handloom/block-printed home textiles|Handmade pottery/terracotta,Corporate gifting|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 3500-7000,Every single day,3-6 months ago,1-2 times,Rs 1-1000,"Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 4000-8000,Rs 15000-30000,Instagram/Facebook social commerce,Aesthetic beauty|Health and Ayurvedic benefits,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",5,Low-cost trial kit/sample set|Videos of handcrafting by Moradabad artisans,Early member access (limited-edition drops),4.0,Rs 1000-3000,Maybe - need to see quality and pricing first,
PTMB0367,60 years and above,Male,North India,Tier-2 city,Rs 40001-75000,7+ people (large joint family),Student,Status & luxury|Sustainability,Handcrafted jewellery,Diwali|Weddings,Rs 3500-7000,Most days (5-6 days a week),3-6 months ago,1-2 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 3000-7000,Brand website (direct online),Health and Ayurvedic benefits|Sustainability,No - do not buy brass/traditional products,3,Low-cost trial kit/sample set|Purity/authenticity certificate (NABL lab),Buy more save more (any 3 items 20% off),2.0,Rs 1000-3000,Definitely not - category not relevant,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0368,45-59 years,Female,West India,Metro city,Rs 75001-150000,3-4 people (small nuclear),Salaried - Government/PSU,Social validation|Sustainability,Antique/vintage collectibles|Brass or copper items|Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Corporate gifting|Diwali|Weddings,Rs 3500-7000,Only on festivals,3-6 months ago,1-2 times,Rs 8001-20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)|None of these interest me",Rs 4000-8000,Rs 7000-15000,Instagram/Facebook social commerce,Aesthetic beauty|Cultural and religious significance,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",2,Purity/authenticity certificate (NABL lab)|Verified customer reviews with photos,Early member access (limited-edition drops),4.0,Rs 8001-20000,Probably not - have trusted alternatives,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0369,25-34 years,Male,North India,Tier-2 city,Rs 40001-75000,5-6 people (medium family),Salaried - Government/PSU,Cultural pride|Value for money,Antique/vintage collectibles|Woodcraft/hand-carved wooden items,Diwali|Weddings,Rs 1500-3500,Every single day,6-12 months ago,3-5 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 4000-8000,Rs 7000-15000,Brand website (direct online),Health and Ayurvedic benefits|Sustainability,Yes - Amazon/Flipkart (unbranded/generic),5,"Transparency on sourcing (which artisan, which workshop)|Videos of handcrafting by Moradabad artisans",Custom engraving/personalisation,4.0,Rs 1000-3000,Definitely yes - buy within first month,
PTMB0370,18-24 years,Female,North India,Semi-rural area,Below Rs 20000,5-6 people (medium family),Student,Craft & artistry|Health & wellness,Brass or copper items|Handmade pottery/terracotta,Baby showers/naming ceremonies|Birthdays and anniversaries|Diwali|Weddings,Rs 500-1500,Most days (5-6 days a week),3-6 months ago,1-2 times,Rs 1-1000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 4000-8000,Rs 1000-3000,Amazon or Flipkart,Aesthetic beauty|Sustainability,Yes - Amazon/Flipkart (unbranded/generic),3,Low-cost trial kit/sample set|Verified customer reviews with photos,Bundle deal (puja set + water vessel at combined price),3.0,Under Rs 1000,Probably not - have trusted alternatives,Brass represents the golden legacy of Indian craftsmanship.
PTMB0371,18-24 years,Female,North India,Tier-3 town,Rs 20000-40000,3-4 people (small nuclear),Salaried - Private sector,Status & luxury|Value for money,Brass or copper items,Baby showers/naming ceremonies|Birthdays and anniversaries,Rs 1500-3500,Most days (5-6 days a week),Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 500-1500,Rs 1000-3000,Local retail store,Aesthetic beauty|Sustainability,No - do not buy brass/traditional products,4,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Buy more save more (any 3 items 20% off),5.0,Rs 1000-3000,Probably not - have trusted alternatives,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0372,Under 18 years,Female,West India,Tier-2 city,Rs 40001-75000,7+ people (large joint family),Salaried - Government/PSU,Aesthetics|Health & wellness,Brass or copper items|Handloom/block-printed home textiles|Stone craft items,Housewarming (Griha Pravesh)|Weddings,Rs 500-1500,A few times a week,More than 1 year ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 4000-8000,Rs 1000-3000,Craft fair/haat/mela/exhibition,Cultural and religious significance|Investment and heirloom value,No - want to buy but no trusted brand yet,5,"Purity/authenticity certificate (NABL lab)|Transparency on sourcing (which artisan, which workshop)",Loyalty reward points,5.0,Under Rs 1000,Probably yes - explore and very likely purchase,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0373,18-24 years,Female,North India,Village or rural area,Rs 40001-75000,5-6 people (medium family),Salaried - Government/PSU,Aesthetics|Health & wellness,Handloom/block-printed home textiles|Stone craft items,Weddings,Rs 1500-3500,Most days (5-6 days a week),3-6 months ago,3-5 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 1500-4000,Rs 3000-7000,Wholesale/direct from artisan,Cultural and religious significance|Sustainability,No - want to buy but no trusted brand yet,5,Purity/authenticity certificate (NABL lab)|Verified customer reviews with photos,Buy more save more (any 3 items 20% off),5.0,Rs 1000-3000,Definitely yes - buy within first month,Brass is elegant - it elevates the aesthetic of any home instantly.
PTMB0374,35-44 years,Male,West India,Village or rural area,Rs 75001-150000,5-6 people (medium family),Salaried - Government/PSU,Aesthetics|Value for money,Handcrafted jewellery|Handloom/block-printed home textiles|Woodcraft/hand-carved wooden items,Diwali|Weddings,Rs 1500-3500,A few times a week,6-12 months ago,1-2 times,Rs 8001-20000,"Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Curated Corporate Gift Sets (hampers, premium branded packaging)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,Rs 7000-15000,Instagram/Facebook social commerce,Health and Ayurvedic benefits|Investment and heirloom value,No - want to buy but no trusted brand yet,3,Brass care and maintenance guide included|Verified customer reviews with photos,Early member access (limited-edition drops),3.0,Rs 8001-20000,Maybe - need to see quality and pricing first,"Premium, durable, and eco-friendly - brass is the future kitchen material."
PTMB0375,18-24 years,Female,West India,Metro city,Rs 40001-75000,7+ people (large joint family),Freelancer/Self-employed,Aesthetics|Health & wellness,Handcrafted jewellery|Handmade pottery/terracotta,Birthdays and anniversaries|Diwali|Weddings,Rs 1500-3500,Rarely or never,6-12 months ago,0 times,Rs 0 (did not buy),"Brass Water Vessels (lotas, surahi-style jars, storage vessels)|None of these interest me",Rs 500-1500,Rs 3000-7000,Local retail store,Cultural and religious significance|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,5,Purity/authenticity certificate (NABL lab)|Videos of handcrafting by Moradabad artisans,Free premium gift wrapping + handwritten note,4.0,Rs 1000-3000,Maybe - need to see quality and pricing first,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0376,25-34 years,Male,West India,Metro city,Rs 40001-75000,5-6 people (medium family),Homemaker,Aesthetics|Cultural pride,Antique/vintage collectibles|Handmade pottery/terracotta|Tribal or folk art|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Diwali|Weddings,Rs 7000-15000,Every single day,Within last 1 month,More than 10 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 3000-7000,Brand website (direct online),Aesthetic beauty|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,5,30-day easy return/replacement/refund guarantee|Low-cost trial kit/sample set,Bundle deal (puja set + water vessel at combined price),5.0,Rs 8001-20000,Probably not - have trusted alternatives,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0377,45-59 years,Male,West India,Tier-3 town,Rs 20000-40000,3-4 people (small nuclear),Salaried - Private sector,Cultural pride|Health & wellness,Antique/vintage collectibles|Handmade pottery/terracotta,Baby showers/naming ceremonies|Diwali|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 1500-3500,Only on festivals,More than 1 year ago,0 times,Rs 0 (did not buy),"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 500-1500,Rs 1000-3000,Amazon or Flipkart,Aesthetic beauty|Gifting value,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",4,Purity/authenticity certificate (NABL lab)|Verified customer reviews with photos,Buy more save more (any 3 items 20% off),2.0,Under Rs 1000,Maybe - need to see quality and pricing first,"Brass is timeless, beautiful, and heals the body according to Ayurveda."
PTMB0378,Under 18 years,Female,East India,Semi-rural area,Rs 20000-40000,5-6 people (medium family),Homemaker,Aesthetics|Health & wellness,Brass or copper items|Handloom/block-printed home textiles|Stone craft items,Rarely or never give gifts|Weddings,Rs 500-1500,Every single day,1-3 months ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 500-1500,Under Rs 1000,Craft fair/haat/mela/exhibition,Aesthetic beauty|Investment and heirloom value,No - want to buy but no trusted brand yet,4,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Loyalty reward points,5.0,Rs 1000-3000,Definitely yes - buy within first month,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0379,45-59 years,Female,North India,Village or rural area,Rs 40001-75000,7+ people (large joint family),Business owner/Entrepreneur,Aesthetics|Cultural pride,Brass or copper items|Handmade pottery/terracotta,Birthdays and anniversaries|Diwali|Housewarming (Griha Pravesh),Rs 500-1500,Most days (5-6 days a week),Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 4000-8000,Under Rs 1000,Local retail store,Cultural and religious significance|Sustainability,No - want to buy but no trusted brand yet,2,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Custom engraving/personalisation,2.0,Under Rs 1000,Probably yes - explore and very likely purchase,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB0380,25-34 years,Female,West India,Semi-rural area,Rs 40001-75000,7+ people (large joint family),Freelancer/Self-employed,Craft & artistry|Value for money,Handcrafted jewellery,Corporate gifting|Diwali|Navratri/Durga Puja/Pongal/regional festivals,Rs 1500-3500,Only on weekends,3-6 months ago,3-5 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 500-1500,Rs 3000-7000,Instagram/Facebook social commerce,Cultural and religious significance|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,4,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Bundle deal (puja set + water vessel at combined price),4.0,Rs 8001-20000,Probably yes - explore and very likely purchase,It is the purest metal for puja and daily rituals in our family.
PTMB0381,18-24 years,Female,North India,Tier-3 town,Rs 40001-75000,7+ people (large joint family),Salaried - Government/PSU,Aesthetics|Craft & artistry,Handmade pottery/terracotta,Birthdays and anniversaries,Rs 3500-7000,Only on festivals,6-12 months ago,1-2 times,Rs 1001-3000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 4000-8000,Rs 1000-3000,Brand website (direct online),Gifting value|Investment and heirloom value,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",4,Brass care and maintenance guide included|Low-cost trial kit/sample set,Loyalty reward points,5.0,Under Rs 1000,Probably not - have trusted alternatives,"Brass is timeless, beautiful, and heals the body according to Ayurveda."
PTMB0382,35-44 years,Female,North India,Tier-2 city,Rs 20000-40000,5-6 people (medium family),Business owner/Entrepreneur,Aesthetics|Value for money,Woodcraft/hand-carved wooden items,Baby showers/naming ceremonies|Navratri/Durga Puja/Pongal/regional festivals,Under Rs 500,Every single day,More than 1 year ago,1-2 times,Rs 0 (did not buy),"Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 500-1500,Rs 3000-7000,Amazon or Flipkart,Health and Ayurvedic benefits|Support Indian artisans,Yes - Amazon/Flipkart (unbranded/generic),5,Purity/authenticity certificate (NABL lab)|Videos of handcrafting by Moradabad artisans,Bundle deal (puja set + water vessel at combined price),4.0,Under Rs 1000,Probably yes - explore and very likely purchase,It is the purest metal for puja and daily rituals in our family.
PTMB0383,35-44 years,Female,South India,Metro city,Rs 75001-150000,3-4 people (small nuclear),Business owner/Entrepreneur,Aesthetics|Sustainability,Handmade pottery/terracotta|Silver pooja items/silverware|Tribal or folk art|Woodcraft/hand-carved wooden items,Weddings,Rs 7000-15000,A few times a week,1-3 months ago,3-5 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 500-1500,Above Rs 30000,YouTube/influencer recommendation,Aesthetic beauty|Health and Ayurvedic benefits,No - do not buy brass/traditional products,3,Purity/authenticity certificate (NABL lab)|Videos of handcrafting by Moradabad artisans,Custom engraving/personalisation,4.0,Under Rs 1000,Maybe - need to see quality and pricing first,Brass is elegant - it elevates the aesthetic of any home instantly.
PTMB0384,45-59 years,Male,South India,Metro city,Rs 150001-300000,7+ people (large joint family),Business owner/Entrepreneur,Cultural pride|Health & wellness,Handloom/block-printed home textiles|Handmade pottery/terracotta|Stone craft items|Tribal or folk art,Housewarming (Griha Pravesh)|Weddings,,Every single day,6-12 months ago,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 4000-8000,Rs 3000-7000,YouTube/influencer recommendation,Cultural and religious significance|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,3,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Loyalty reward points,2.0,Rs 3001-8000,Probably yes - explore and very likely purchase,It is the purest metal for puja and daily rituals in our family.
PTMB0385,45-59 years,Male,East India,Tier-2 city,Rs 20000-40000,7+ people (large joint family),Business owner/Entrepreneur,Cultural pride|Health & wellness,Brass or copper items|Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Weddings,Under Rs 500,Most days (5-6 days a week),1-3 months ago,1-2 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 4000-8000,Rs 7000-15000,Amazon or Flipkart,Cultural and religious significance|Sustainability,No - want to buy but no trusted brand yet,4,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,Buy more save more (any 3 items 20% off),4.0,Rs 3001-8000,Probably yes - explore and very likely purchase,
